cntntsSn,disease
5470,이유기보충식(이유식)
3348,추간판탈출증(디스크)
5715,치과국소마취(치과 부분마취)
6388,정상임신관리(임신 전 관리)
1751,방광요관역류(소아)
6571,라미네이트 치료
6553,바이러스성 간염
5471,상부위장관 촬영
5779,연조직염과 종기
6708,위십이지장 궤양
3987,자궁경부암 백신
6725,정상노화의 이해
6483,정상소아의 성장
5473,하부위장관 촬영
6532,전자제품과 전자파
3388,당뇨환자의 식이요법
6471,당뇨환자의 약물요법
3390,당뇨환자의 운동요법
5696,상처관리와 흉터예방
5718,전신질환과 치주치료
5796,투석환자의 식이요법
5490,거부반응과 면역억제제
5533,감염질환의 혈청검사
5862,감마나이프 방사선 수술
6621,드림렌즈의 효과와 부작용
6261,치매환자의 가족을 위한 정보
5532,종양표지자 검사
3848,기후변화에 의한 폭염
6494,연조직염과 종기(연조직염)
6493,연조직염과 종기(종기)
6485,정상소아의 성장(발달)
6484,정상소아의 성장(성장)
5800,궤양대장염(궤양결장염)
6240,요로전환술(방광창냄술)
6243,요로전환술(콩팥창냄술)
6241,요로전환술(회장도관술)
6227,심폐소생술(이물질에 의한 기도폐쇄의 처치)
5845,눈꺼풀처짐(안검하수)
6242,요로전환술(정위성 인공방광 대치술)
6482,급성신손상(소아)
5969,"“무릎관절염, 올바르게 운동하기”"
5804,구역질과 구토
5691,굳은살과 티눈
1103,비뇨기계 외상
6706,중환자실 치료
6260,흉막염과 농흉
6697,고혈압성 콩팥병
5372,비브리오 패혈증
5265,다래끼와 콩다래끼
6692,당뇨병성 족부병증
2028,디젤엔진 배출물질
6567,호스피스 완화의료
6578,늘어지는 영아증후군
6613,불규칙한 월경주기와 월경전증후군
6620,청소년과 다이어트 보조제
1342,건강하게 탄수화물 먹는 방법! 알려드리겠습니다!
3607,처방전과 약설명서 읽는 방법! 알려드리겠습니다!
6720,내분비계 장애물질(환경 호르몬)
3467,대퇴골두 무혈성 괴사
6624,청소년의 디지털 과의존
5251,내시경적 역행성 담췌관조영술
5817,초음파를 이용한 세포조직검사
6622,청소년의 안전한 화장품 사용
6615,청소년의 카페인 음료 섭취
6586,성공적인 모유 수유
5335,건강하게 염분 섭취하는 방법! 알려드리겠습니다!
6623,청소년의 제로 음료 섭취
6763,영양표시 읽는 법! 알려드리겠습니다!
6295,각막혼탁 및 반흔
6257,해외여행 시 주의해야 할 감염병! 알려드리겠습니다!
6254,고혈압과 눈(고혈압망막병증)
6251,신체활동! 알려드리겠습니다!
5355,위험음주! 알려드리겠습니다!
1607,외이도염(알레르기외이도염)
6671,건강검진(국가건강검진)
6269,응고검사(출혈질환의 검사)
6268,응고검사(혈전질환의 검사)
3509,조갑감입(파고드는 발톱_감입발톱)
6768,수족구병(손발입병)
6481,얼굴떨림(얼굴연축)
5238,연조직염(봉와직염)
6704,치아외상(치아손상)
5494,"“흉곽기형(오목가슴, 함몰흉, 누두흉)”"
6275,얼굴떨림(얼굴연축_눈꺼풀연축)
6276,얼굴떨림(얼굴연축_반얼굴연축)
3790,얼굴마비(말초성 마비)
3789,얼굴마비(중추성 마비)
6711,소변이상(단백뇨)
5212,식이영양(영유아)
5214,식이영양(임산부)
6188,언어장애(아동 언어장애의 진단과 치료)
5710,레진치료(치아 레진치료)
1608,외이도염(악성 외이도염)
6189,언어장애(성인 언어 및 말장애의 진단과 치료)
6787,교통사고(일반)
1469,색각이상(색맹)
6710,소변이상(농뇨)
6721,소변이상(당뇨)
6712,소변이상(혈뇨)
5407,왜소음경(소아)
5408,요도하열(소아)
5217,"“굴절이상(근시, 원시, 난시)”"
5213,식이영양(소아/청소년)
5296,건강검진(암 검진)
6753,재택의료/방문진료
6510,가철성 보철
2387,갑상선 검사
6683,갑상선 결절
2067,남성형 탈모
6761,노인의 영양
5856,대동맥 박리
6316,독극물 섭취
5865,림프절 종대
6255,방광경 검사
5723,신생아 황달
5486,유소아 난청
2727,자궁외 임신
3727,전해질 검사
6782,전해질 이상
3338,턱관절 장애
6719,환경과 건강
6785,고위험 임산부
6580,동맥관 개존증
5310,알코올 간질환
5864,외상성 뇌손상
4047,척추관 협착증
6562,고관절 전치환술
6568,뇌사자 장기기증
2587,비정상 자궁출혈
6318,석면과 건강장해
6679,수두와 대상포진
6445,슬관절 전치환술
6619,액상형 전자담배
5850,외상성 척수손상
5849,외상성 척추손상
5482,황사와 미세먼지
6529,직업성 호흡기질환
6539,근전도 신경전도검사
6616,특발성 저신장에서 성장호르몬 효과와 주의사항
6547,건강한 체중조절을 위한 식사
5499,모호한 외부생식기 및 성 발달 이상
6526,직업성 호흡기질환(직업성 만성폐쇄성폐질환)
6525,직업성 호흡기질환(직업성 감염성폐질환)
6527,직업성 호흡기질환(직업성 천식)
6524,"“직업성 호흡기질환(직업성 폐암, 악성중피종)”"
6528,직업성 호흡기질환(진폐증)
2047,겨울철 대설대비 건강수칙
2049,겨울철 저체온증 예방요령
2048,겨울철 한파대비 건강수칙
6474,뇌졸중 환자의 재활
6748,반월상 연골판 손상
6309,스포츠 손상과 안전
2107,소아의 대소변 가리기
5999,고혈압 환자의 식이요법
5303,고혈압 환자의 운동요법
6290,폐기물 소각과 다이옥신
6563,발달성 고관절 이형성증 및 탈구
6451,턱교정 수술과 교정 치료
6311,스포츠 손상과 안전(견관절(어깨 관절) 손상)
6310,스포츠 손상과 안전(슬관절(무릎 관절) 손상)
6312,스포츠 손상과 안전(족관절(발목 관절) 손상)
2347,당뇨병 합병증(급성 합병증)
2351,당뇨병 합병증(만성 합병증)
2348,"“당뇨병 합병증(급성 합병증_당뇨병케토산증, 고혈당고삼투질상태)”"
2350,당뇨병 합병증(급성 합병증_저혈당)
5241,갑상선 양성 종양
5487,외상성 고막 천공
5518,융모막 융모 검사
2607,일과성 허혈 발작
3627,척추의 형태 이상
5971,다낭성 난소 증후군
2052,겨울철 대표 질환별 응급조치 요령
5516,초음파 태아 목덜미 투명대 측정
6249,신생아 대사 이상 검사
3628,척추의 형태 이상(척추측만증)
3629,척추의 형태 이상(척추후만증)
6291,구강병 예방 및 관리방법! 알려드리겠습니다!
2050,겨울철 동상 및 동창 예방요령
6807,전해질 이상(저칼륨혈증)
2388,갑상선 검사(혈액검사 및 요검사)
2393,갑상선 검사(갑상선 세포검사 및 조직검사)
2389,갑상선 검사(방사성 요오드 섭취율)
3728,전해질 검사(산염기 균형)
2390,갑상선 검사(초음파)
6391,아말감 및 인레이(치아색 인레이)
6389,아말감 및 인레이(아말감)
6470,아말감 및 인레이(금 인레이)
5709,시린이(치아지각과민)
2970,심낭염(심장눌림증)
1362,안외상(각막찰과상)
6490,건막염(류마치스 건막염)
5223,비문증(날파리증)
1404,안외상(각막이물)
1381,안외상(각막화상)
1382,안외상(안와골절)
1361,안외상(전방출혈)
5716,잇몸병(치주질환)
1402,안외상(외상성 망막박리)
1403,안외상(외상성 백내장 및 수정체 이탈)
6491,건막염(감염성 건막염)
6489,건막염(통풍성 건막염)
6492,건막염(특발성 건막염)
6760,공수병(광견병)
6487,손떨림(수전증)
5727,크루프(후두염)
5972,일자목(거북목)증후군
6292,수근굴(수근관) 증후군
1567,"“오십견(동결견, 유착관절낭염)”"
2969,심낭염(만성 심낭삼출)
2971,심낭염(교착 심낭염)
2968,심낭염(급성 심낭염)
1401,안외상(천공 외상)
6305,수두증(소아)
5719,야뇨증(소아)
5230,"“뎅기열,  치쿤구니야열”"
5681,경부 종괴
6716,공기 오염
2447,노인 변비
6262,노인 부종
6758,노인 운동
6298,담낭 용종
5722,대변 이상
5682,메켈 게실
1747,물에 빠짐
5848,바렛 식도
5858,복부 팽만
6767,성장 장애
4008,소아 비만
5472,소장 촬영
6717,식품 오염
6449,신장 이식
5517,양수 검사
6709,지질 검사
6546,체중 감소
5488,코뼈 골절
5782,급성 간부전
5318,급성 충수염
6698,노인 고혈압
5306,노인 당뇨병
5783,노인 요실금
6289,지루 피부염
1261,간의 양성종양
6695,노인 보행장애
5314,노인 삼킴장애
5428,노인 약물복용
6766,노인 어지럼증
5253,노인 호흡곤란
6576,치과 임플란트
6552,항문 가려움증
6770,급성 심근경색증
5334,사람 브루셀라증
6756,급성 바이러스 위장관염
5721,소아 청소년의 혈변 및 흑혈변
1265,간의 양성종양(국소결절증식증)
1266,간의 양성종양(담관낭선종)
1262,간의 양성종양(간혈관종)
1264,간의 양성종양(간낭종)
6496,간의 양성종양(간선종)
5280,급성 세균성 장염
5410,산전 기형아 검사
6618,정상 월경의 이해
6270,귀의 형태 이상
5697,난소 양성 종양
6744,무릎 관절 손상
6530,생활 속의 라돈
6264,생활 속의 소음
6771,심장 판막 질환
5854,심부 정맥 혈전증
6280,생활 속의 연소가스
6573,생활 속의 다중화학물질과민증
6574,생활 속의 환경호르몬(내분비교란 물질)
6745,무릎 관절 주위의 골절
6746,무릎 연골 손상
6747,무릎 인대 손상
5531,임상 화학 검사
6272,배뇨 관련 증상 또는 이상
5351,담배 끊는 방법! 알려드리겠습니다!
6478,귀의 형태 이상(돌출귀)
6271,귀의 형태 이상(소이증)
6479,귀의 형태 이상(기타)
5708,귀의 통증 및 분비물
5504,복부 수술 후 장유착
6585,독성 간 손상
5481,가정 내 아동안전
3433,대변 및 잠혈검사
3434,대변 및 잠혈검사(기생충 검사)
3436,대변 및 잠혈검사(백혈구 검사)
3435,대변 및 잠혈검사(분변 잠혈검사)
5483,동물 및 곤충에 의한 응급상황
5503,장루 및 장루 관리
6322,치통 및 만성 통증
6718,토양 및 수질 오염
6321,치통 및 만성 통증(구강안면부의 만성 통증)
6320,치통 및 만성 통증(치통)
5434,혈변 및 흑변(성인)
3768,코피(비출혈)
5840,평발(편평족)
6253,기침(성인)
6279,약시(소아)
6488,탈장(성인)
5468,탈장(소아)
